num_ordered,num_sales_calls,num_ordered_last_month,is_general_phys,is_specialist,mean_samples_given
3,1,4,1,0,0.721739130434783
12,1,3,0,1,0.491304347826087
3,1,12,1,0,0.339130434782609
6,2,3,1,0,3.19565217391304
5,1,6,0,1,0.347826086956522
2,0,5,1,0,0.421739130434783
5,2,2,1,0,0.330434782608696
1,2,5,1,0,0.495652173913044
5,1,1,1,0,4.51739130434783
3,1,5,1,0,0.295652173913043
1,2,3,1,0,0.817391304347826
3,2,1,0,0,0.252173913043478
1,2,3,1,0,0.473913043478261
2,2,1,1,0,0.134782608695652
0,1,2,1,0,0.543478260869565
4,4,0,1,0,0.578260869565217
6,2,4,1,0,0.0434782608695652
1,0,6,1,0,0.930434782608696
2,2,1,1,0,2.80434782608696
2,1,2,1,0,0.430434782608696
2,2,2,1,0,0.0434782608695652
6,3,2,1,0,1.6695652173913
3,2,6,1,0,0.765217391304348
1,2,5,0,1,0.0826086956521739
8,3,1,0,1,0.108695652173913
7,1,8,1,0,0.091304347826087
5,1,7,1,0,0.178260869565217
3,2,5,1,0,0.217391304347826
9,3,3,1,0,0.852173913043478
2,3,9,1,0,0.795652173913044
10,6,2,1,0,0.760869565217391
6,2,10,0,0,0.565217391304348
4,6,6,1,0,2.51304347826087
4,4,4,0,1,0.182608695652174
5,1,4,1,0,0.417391304347826
11,5,5,1,0,0.152173913043478
1,5,11,0,0,0.18695652173913
1,3,1,0,0,0.121739130434783
2,5,1,1,0,1.25217391304348
0,4,2,1,0,0.0565217391304348
4,5,0,0,1,2.1304347826087
2,3,4,1,0,0.71304347826087
2,5,2,1,0,0.252173913043478
4,5,2,1,0,0.156521739130435
5,5,4,0,0,0.0869565217391304
3,5,5,1,0,0.0347826086956522
10,1,5,1,0,0.0
9,2,10,1,0,0.221739130434783
6,0,9,1,0,0.521739130434783
6,3,6,1,0,0.595652173913043
5,2,6,0,0,0.126086956521739
9,0,5,1,0,0.0739130434782609
5,1,9,1,0,1.21304347826087
11,2,5,1,0,0.230434782608696
6,1,11,1,0,0.88695652173913
2,3,6,1,0,0.869565217391304
7,2,2,0,0,0.4
12,2,7,1,0,0.469565217391304
11,1,12,1,0,0.691304347826087
6,3,11,1,0,0.0565217391304348
10,4,6,1,0,1.02608695652174
7,3,10,1,0,0.221739130434783
8,2,7,1,0,1.37826086956522
8,0,8,1,0,0.517391304347826
8,2,8,1,0,0.621739130434783
8,3,8,1,0,0.869565217391304
2,4,8,1,0,0.304347826086957
12,5,2,0,1,0.556521739130435
2,5,12,1,0,1.0304347826087
6,3,8,0,1,0.317391304347826
10,3,6,1,0,0.547826086956522
4,5,10,1,0,0.326086956521739
7,3,4,0,0,0.152173913043478
6,4,7,1,0,0.773913043478261
10,3,6,1,0,1.6304347826087
11,4,10,1,0,0.195652173913043
7,4,11,1,0,1.47826086956522
8,5,7,1,0,0.504347826086957
