model,mae,mae,mae,nll,nll,nll
,mean,std,count,mean,std,count
beta_ddpn_0.5,1.095,0.029,5,1.459,0.020,5
beta_ddpn_0.5_ensemble,1.029,,1,1.354,,1
beta_ddpn_1.0,1.006,0.008,5,1.577,0.008,5
beta_ddpn_1.0_ensemble,0.959,,1,1.403,,1
ddpn,1.135,0.077,5,1.510,0.027,5
ddpn_ensemble,1.024,,1,1.367,,1
gaussian,1.184,0.122,5,1.558,0.073,5
gaussian_ensemble,1.105,,1,1.507,,1
immer,1.119,0.037,5,1.563,0.031,5
immer_ensemble,1.038,,1,1.514,,1
nbinom,1.143,0.053,5,1.762,0.007,5
nbinom_ensemble,1.061,,1,1.726,,1
poisson,1.099,0.015,5,1.775,0.008,5
poisson_ensemble,1.046,,1,1.737,,1
seitzer_0.5,1.015,0.004,5,1.529,0.018,5
seitzer_0.5_ensemble,0.973,,1,1.417,,1
seitzer_1.0,1.037,0.005,5,1.590,0.006,5
seitzer_1.0_ensemble,0.993,,1,1.490,,1
stirn,1.027,0.008,5,1.855,0.010,5
stirn_ensemble,0.990,,1,1.787,,1
