model,mae,mae,mae,nll,nll,nll
,mean,std,count,mean,std,count
beta_ddpn_0.9,0.279,0.002,5,0.716,0.020,5
beta_ddpn_0.9_ensemble,0.280,,1,0.705,,1
ddpn,0.271,0.000,5,0.696,0.007,5
ddpn_ensemble,0.270,,1,0.689,,1
dpo_glm,0.321,0.110,5,0.910,0.228,5
dpo_glm_ensemble,0.268,,1,0.860,,1
gaussian,0.305,0.003,5,0.734,0.002,5
gaussian_ensemble,0.305,,1,0.733,,1
immer,0.307,0.002,5,0.721,0.001,5
immer_ensemble,0.307,,1,0.721,,1
nbinom,0.280,0.022,5,1.175,0.000,5
nbinom_ensemble,0.273,,1,1.174,,1
nbinom_glm,0.331,0.002,5,1.181,0.000,5
nbinom_glm_ensemble,0.328,,1,1.181,,1
poisson,0.272,0.004,5,1.175,0.000,5
poisson_ensemble,0.270,,1,1.174,,1
poisson_glm,0.378,0.000,5,1.178,0.000,5
poisson_glm_ensemble,0.377,,1,1.178,,1
seitzer_0.7,0.284,0.005,5,0.910,0.078,5
seitzer_0.7_ensemble,0.281,,1,0.905,,1
stirn,0.291,0.003,5,1.009,0.015,5
stirn_ensemble,0.290,,1,1.007,,1
