head,auroc,auroc,aupr,aupr,fpr80,fpr80
,mean,std,mean,std,mean,std
beta_ddpn_0.5,0.8865594148635865,0.0008723800465402006,0.8745876491069794,0.0030827350620702297,0.19900811910629274,0.001453573926117087
beta_ddpn_1.0,0.8697737276554107,0.0009640056837690833,0.8509628117084503,0.002250790646947711,0.23569490909576415,0.0015347788931741736
ddpn,0.8538117170333862,0.0010023388163178007,0.8490995705127716,0.0031194117841524794,0.2691920518875122,0.002242769415494783
gaussian,0.8401465356349945,0.0008925482111438813,0.8115169644355774,0.004874589125575334,0.3177372694015503,0.002183078308608263
immer,0.8358645498752594,0.0010404256425507097,0.8273326337337494,0.002027882747186108,0.3166792631149292,0.0019214627071377419
seitzer_0.5,0.828740531206131,0.0008526469620238155,0.7971274971961975,0.004305139847894245,0.3227029323577881,0.0017655290892165355
seitzer_1.0,0.8169435739517212,0.0011258874853723188,0.8058788299560546,0.0024650220461293576,0.33801248073577883,0.0014487722743545812
stirn,0.7308332800865174,0.001074704278798572,0.6703887820243836,0.0012871406223473245,0.37997353076934814,0.0016584214867987601
poisson,0.3295216292142868,0.001317791621487549,0.4126871138811111,0.0004556635762330028,0.7925562858581543,0.0011822836950173196
nbinom,0.27962004840373994,0.0012397301324018175,0.3972008049488068,0.00037794287602046475,0.8192928314208985,0.001611780898156944
